"동별(1)","항목",2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4
"동별(1)","항목",합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
"동대문구","등록외국인",18533,197,175,104,735,7029,5149,1664,948,581,417,444,488,328,147,70,24,14,12,5,2,-,19868,210,171,102,1260,8093,4996,1631,939,558,407,442,476,315,145,68,23,14,11,5,2,-
"중랑구","계",386131,8312,10132,11539,12384,19347,30492,33179,26405,27894,25065,31272,33357,34505,29879,19825,14887,10618,5011,1599,370,59,385349,8192,10006,11405,12335,19119,30224,33245,26427,27524,25053,31002,33149,34176,30365,20208,15091,10625,5123,1642,378,60
"중랑구","한국인",380353,8102,9958,11401,12147,18597,29605,32440,25757,27472,24723,30888,32962,34249,29757,19777,14870,10615,5009,1595,370,59,379274,7965,9828,11259,12009,18237,29309,32496,25766,27100,24710,30618,32741,33937,30245,20160,15074,10623,5121,1638,378,60
"중랑구","등록외국인",5778,210,174,138,237,750,887,739,648,422,342,384,395,256,122,48,17,3,2,4,-,-,6075,227,178,146,326,882,915,749,661,424,343,384,408,239,120,48,17,2,2,4,-,-
"성북구","계",435492,9475,13666,16351,18916,35489,35541,30657,27207,31723,30875,38203,33387,31138,27758,18993,15526,12062,6073,1908,476,68,435037,9398,13383,16257,19092,35800,35460,30653,27188,31251,30643,37933,33475,30936,28016,19171,15649,12023,6180,1981,481,67
"성북구","한국인",423439,9333,13533,16218,18186,31415,32736,29445,26440,31146,30446,37845,33101,30941,27651,18943,15501,12049,6067,1901,476,66,421560,9246,13249,16128,17845,30939,32560,29408,26424,30677,30220,37584,33181,30746,27905,19120,15624,12010,6174,1974,481,65
"성북구","등록외국인",12053,142,133,133,730,4074,2805,1212,767,577,429,358,286,197,107,50,25,13,6,7,-,2,13477,152,134,129,1247,4861,2900,1245,764,574,423,349,294,190,111,51,25,13,6,7,-,2
"강북구","계",289678,4291,6574,8769,10159,17737,21529,19676,15794,19288,19569,25441,24891,25317,23019,16519,13851,10514,4958,1382,353,47,289374,4286,6443,8619,10267,17637,21367,19823,15705,18992,19493,25349,24863,25119,23252,16811,13975,10535,5032,1408,351,47
"강북구","한국인",284313,4202,6496,8722,9906,16266,20404,19164,15389,18975,19352,25208,24642,25123,22923,16474,13829,10507,4956,1379,352,44,283597,4189,6365,8573,9832,15996,20206,19307,15295,18679,19268,25109,24624,24927,23150,16766,13953,10529,5030,1405,350,44
"강북구","등록외국인",5365,89,78,47,253,1471,1125,512,405,313,217,233,249,194,96,45,22,7,2,3,1,3,5777,97,78,46,435,1641,1161,516,410,313,225,240,239,192,102,45,22,6,2,3,1,3
"도봉구","계",306926,5326,8049,10374,11519,16418,20683,20604,17462,20909,20588,26940,27120,27707,25786,17025,13175,10006,5143,1638,390,64,306032,5237,7835,10281,11515,16149,20454,20619,17444,20590,20538,26680,26966,27501,26090,17404,13310,10015,5267,1677,399,61
"도봉구","한국인",304255,5279,7992,10339,11408,15949,20281,20249,17153,20693,20428,26761,26946,27624,25745,17003,13169,10004,5141,1637,390,64,303228,5191,7776,10248,11349,15635,20017,20270,17135,20367,20376,26503,26789,27423,26051,17381,13303,10013,5265,1676,399,61
"도봉구","등록외국인",2671,47,57,35,111,469,402,355,309,216,160,179,174,83,41,22,6,2,2,1,-,-,2804,46,59,33,166,514,437,349,309,223,162,177,177,78,39,23,7,2,2,1,-,-
"노원구","계",498358,10220,14845,20980,25342,33803,33270,32752,29094,35604,37562,46036,40613,38661,34838,23573,17806,13149,7071,2476,566,97,496552,10089,14515,20898,24954,33616,33092,32689,29117,34977,37477,45718,40508,38323,35191,23920,17959,13131,7160,2542,580,96
"노원구","한국인",493486,10175,14778,20941,25068,32563,32224,32162,28705,35304,37327,45838,40410,38536,34766,23548,17793,13142,7068,2476,565,97,491247,10042,14450,20858,24558,32128,32019,32074,28724,34670,37231,45518,40312,38196,35126,23896,17946,13125,7157,2542,579,96
"노원구","등록외국인",4872,45,67,39,274,1240,1046,590,389,300,235,198,203,125,72,25,13,7,3,-,1,-,5305,47,65,40,396,1488,1073,615,393,307,246,200,196,127,65,24,13,6,3,-,1,-
"은평구","계",466809,9462,13251,16459,18274,25089,35737,37470,29944,35076,33672,41020,37423,36949,32762,22800,18350,13618,6915,2011,456,71,465350,9375,12879,16350,18236,24585,35545,37464,29992,34416,33620,40893,37353,36579,33261,23021,18534,13551,7062,2099,466,69
"은평구","한국인",462514,9379,13140,16376,18134,24803,35258,36897,29365,34606,33335,40705,37097,36707,32620,22742,18319,13599,6901,2007,453,71,460919,9289,12767,16268,18031,24243,35043,36889,29432,33951,33276,40570,37028,36344,33113,22963,18502,13534,7049,2095,463,69
"은평구","등록외국인",4295,83,111,83,140,286,479,573,579,470,337,315,326,242,142,58,31,19,14,4,3,-,4431,86,112,82,205,342,502,575,560,465,344,323,325,235,148,58,32,17,13,4,3,-
"서대문구","계",319749,7156,9712,10793,12046,26573,30014,25726,21401,23226,21111,25817,23797,22595,19747,13324,11142,8855,4834,1466,350,64,318622,7156,9467,10803,12239,26346,29613,25688,21392,22933,21041,25571,23751,22393,19918,13473,11157,8806,4941,1506,356,72
"서대문구","한국인",304523,7079,9582,10610,11287,21151,26512,24252,20576,22540,20629,25358,23447,22269,19499,13191,11060,8813,4806,1455,346,61,302853,7070,9337,10614,11097,20647,26175,24263,20558,22252,20559,25118,23404,22074,19677,13340,11075,8764,4913,1495,352,69
"서대문구","등록외국인",15226,77,130,183,759,5422,3502,1474,825,686,482,459,350,326,248,133,82,42,28,11,4,3,15769,86,130,189,1142,5699,3438,1425,834,681,482,453,347,319,241,133,82,42,28,11,4,3
"마포구","계",373874,8449,11546,12751,14062,25557,37373,37151,29648,30158,27010,31105,26080,23487,19862,13218,11035,8794,4587,1603,344,54,372745,8391,11362,12710,13985,25251,36963,37249,29653,29784,27016,30859,26196,23317,20060,13400,11059,8746,4701,1635,359,49
"마포구","한국인",362564,8320,11316,12563,13602,22868,35029,35650,28701,29426,26498,30628,25695,23180,19678,13091,10983,8763,4578,1599,344,52,361417,8255,11144,12520,13425,22478,34733,35765,28702,29048,26509,30393,25811,23022,19884,13279,11004,8716,4692,1631,359,47
"마포구","등록외국인",11310,129,230,188,460,2689,2344,1501,947,732,512,477,385,307,184,127,52,31,9,4,-,2,11328,136,218,190,560,2773,2230,1484,951,736,507,466,385,295,176,121,55,30,9,4,-,2
"양천구","계",435867,8569,15789,23468,23585,23014,27993,28155,25450,35166,36649,39853,35134,33665,29770,20018,14104,8898,4491,1656,374,66,434351,8516,15520,23360,23594,22690,27638,28054,25316,34642,36649,39695,34850,33437,30059,20431,14274,8909,4574,1694,382,67
"양천구","한국인",432523,8517,15709,23408,23522,22847,27647,27791,25040,34828,36337,39537,34761,33422,29644,19963,14081,8893,4487,1651,374,64,430976,8463,15440,23303,23529,22502,27286,27680,24899,34310,36336,39371,34485,33198,29935,20375,14252,8905,4570,1690,382,65
"양천구","등록외국인",3344,52,80,60,63,167,346,364,410,338,312,316,373,243,126,55,23,5,4,5,-,2,3375,53,80,57,65,188,352,374,417,332,313,324,365,239,124,56,22,4,4,4,-,2
"강서구","계",563515,12699,16884,20350,20851,28692,48780,54653,43143,45116,40243,43956,40010,41938,39116,26350,19160,12254,6374,2273,589,84,562194,12531,16603,20272,20703,28296,48324,54736,43213,44446,40460,43853,39699,41505,39455,26902,19421,12330,6445,2333,581,86
"강서구","한국인",557662,12580,16729,20264,20741,28356,48070,53876,42284,44518,39781,43474,39537,41572,38928,26275,19126,12242,6368,2269,588,84,556171,12403,16457,20183,20576,27891,47550,53947,42352,43837,40000,43362,39219,41148,39276,26829,19388,12318,6439,2330,580,86
"강서구","등록외국인",5853,119,155,86,110,336,710,777,859,598,462,482,473,366,188,75,34,12,6,4,1,-,6023,128,146,89,127,405,774,789,861,609,460,491,480,357,179,73,33,12,6,3,1,-
"구로구","계",412441,10126,12562,14154,14404,19755,30869,34478,30537,32028,29229,34797,33572,33085,29399,20723,15528,10291,4986,1492,374,52,411916,10098,12283,14052,14446,19516,30611,34454,30566,31605,29357,34652,33634,32769,29698,20987,15757,10388,5055,1549,385,54
"구로구","한국인",389416,9623,11741,13691,13984,19095,29892,32996,28102,29783,27131,31766,29948,30666,28201,20283,15420,10246,4954,1479,364,51,388169,9578,11488,13591,13932,18719,29589,32927,28061,29300,27158,31507,29869,30423,28498,20545,15650,10346,5024,1536,375,53
"구로구","등록외국인",23025,503,821,463,420,660,977,1482,2435,2245,2098,3031,3624,2419,1198,440,108,45,32,13,10,1,23747,520,795,461,514,797,1022,1527,2505,2305,2199,3145,3765,2346,1200,442,107,42,31,13,10,1
"금천구","계",239577,4471,5491,6227,6823,11448,23774,23864,16929,16161,15072,19552,21204,21254,17378,11560,8593,5918,2773,888,157,40,239070,4443,5376,6174,6774,11205,23529,24023,16949,15914,15021,19458,21095,21158,17602,11744,8707,5910,2871,909,170,38
"금천구","한국인",226003,4143,5027,5927,6617,11061,23076,22900,15491,14883,13832,17728,19032,19898,16806,11323,8530,5897,2762,878,155,37,225159,4099,4927,5885,6540,10779,22791,23016,15502,14607,13728,17575,18826,19847,17033,11508,8644,5890,2860,899,168,35
"금천구","등록외국인",13574,328,464,300,206,387,698,964,1438,1278,1240,1824,2172,1356,572,237,63,21,11,10,2,3,13911,344,449,289,234,426,738,1007,1447,1307,1293,1883,2269,1311,569,236,63,20,11,10,2,3
"영등포구","계",397514,10453,11895,11729,11834,19709,38407,42631,33668,30713,26615,31152,30319,28676,24400,16504,12779,9154,4903,1580,325,68,397173,10305,11674,11641,11814,19261,38397,43072,33731,30474,26632,31012,30371,28334,24685,16691,12913,9122,5023,1626,329,66
"영등포구","한국인",374653,10009,11168,11288,11429,18817,37131,41104,31348,28672,24495,28231,26832,26322,23145,16075,12670,9112,4867,1563,313,62,373773,9834,10954,11209,11355,18292,37086,41507,31376,28352,24481,27995,26751,26013,23433,16273,12808,9080,4988,1609,317,60
"영등포구","등록외국인",22861,444,727,441,405,892,1276,1527,2320,2041,2120,2921,3487,2354,1255,429,109,42,36,17,12,6,23400,471,720,432,459,969,1311,1565,2355,2122,2151,3017,3620,2321,1252,418,105,42,35,17,12,6
"동작구","계",387792,8251,10968,12321,13844,28159,39443,35291,27034,27973,26092,30497,28166,27282,24357,17159,14066,9819,4965,1659,379,67,387352,8182,10650,12269,13825,28143,39337,35476,27026,27626,26135,30318,28104,27060,24584,17337,14174,9886,5070,1691,391,68
"동작구","한국인",377137,8155,10854,12217,13368,25361,37449,34334,26295,27384,25604,29907,27441,26715,24098,17054,14047,9807,4951,1654,378,64,375799,8083,10542,12165,13025,24757,37353,34494,26307,27033,25638,29729,27373,26517,24326,17232,14154,9874,5056,1686,390,65
"동작구","등록외국인",10655,96,114,104,476,2798,1994,957,739,589,488,590,725,567,259,105,19,12,14,5,1,3,11553,99,108,104,800,3386,1984,982,719,593,497,589,731,543,258,105,20,12,14,5,1,3
"관악구","계",496469,6892,8922,11098,14109,37743,73339,59298,34443,32359,29459,35001,33087,32704,29210,21542,17358,12343,5601,1554,348,59,495620,6812,8693,10949,14130,37543,73320,59502,34625,31747,29315,34796,32910,32393,29573,21680,17520,12399,5666,1636,360,51
"관악구","한국인",479774,6675,8659,10929,13597,34858,70053,57290,33123,31354,28618,33899,31707,31752,28735,21368,17307,12322,5581,1545,344,58,477812,6591,8432,10778,13318,34048,69807,57513,33299,30718,28482,33697,31527,31464,29105,21507,17469,12378,5646,1627,356,50
"관악구","등록외국인",16695,217,263,169,512,2885,3286,2008,1320,1005,841,1102,1380,952,475,174,51,21,20,9,4,1,17808,221,261,171,812,3495,3513,1989,1326,1029,833,1099,1383,929,468,173,51,21,20,9,4,1
"서초구","계",412611,10238,16714,23001,21976,22101,27971,30040,28415,35926,36120,37929,28968,25217,23411,16733,13391,8335,4174,1480,405,66,413076,10261,16696,22997,22133,22058,27814,30016,28329,35539,36424,37836,29130,25108,23612,16935,13512,8450,4228,1533,402,63
"서초구","한국인",408060,10128,16523,22804,21840,21844,27426,29448,27795,35299,35677,37588,28738,25080,23351,16704,13374,8328,4167,1479,402,65,408376,10139,16495,22797,21992,21740,27233,29429,27687,34886,35995,37500,28902,24975,23551,16905,13493,8443,4221,1532,399,62
"서초구","등록외국인",4551,110,191,197,136,257,545,592,620,627,443,341,230,137,60,29,17,7,7,1,3,1,4700,122,201,200,141,318,581,587,642,653,429,336,228,133,61,30,19,7,7,1,3,1
"강남구","계",564280,12351,21148,32417,31505,29367,39690,43880,39193,50568,51682,50438,38050,33324,31201,23121,17883,10707,5182,1943,539,91,563215,12339,20970,32457,31305,29000,39063,43926,39236,49825,52029,50334,38156,33105,31363,23302,18079,10834,5280,1971,557,84
"강남구","한국인",558508,12296,21067,32354,31348,28822,38539,42864,38382,50008,51275,50109,37788,33171,31116,23078,17849,10700,5173,1941,538,90,557345,12273,20887,32396,31131,28418,37886,42889,38402,49268,51624,50016,37899,32965,31274,23259,18050,10828,5271,1970,556,83
"강남구","등록외국인",5772,55,81,63,157,545,1151,1016,811,560,407,329,262,153,85,43,34,7,9,2,1,1,5870,66,83,61,174,582,1177,1037,834,557,405,318,257,140,89,43,29,6,9,1,1,1
"송파구","계",657991,16793,25060,29161,27994,32915,50167,57032,50431,56682,49570,53283,48466,47422,43022,28781,20147,12159,5976,2249,589,92,656310,16742,24679,29206,27895,32417,49703,57150,50451,56026,49825,53051,48103,46819,43300,29233,20405,12257,6067,2290,604,87
"송파구","한국인",651882,16664,24911,29060,27877,32546,49504,56211,49579,56014,49114,52733,47874,47069,42843,28718,20120,12147,5971,2247,588,92,650110,16611,24529,29110,27740,32018,49024,56305,49589,55343,49386,52496,47508,46494,43121,29172,20379,12245,6062,2288,603,87
"송파구","등록외국인",6109,129,149,101,117,369,663,821,852,668,456,550,592,353,179,63,27,12,5,2,1,-,6200,131,150,96,155,399,679,845,862,683,439,555,595,325,179,61,26,12,5,2,1,-
"강동구","계",469464,12789,17749,20613,19409,22636,33756,37121,34121,39997,35756,37512,34687,36302,33104,22261,15605,9455,4455,1627,429,80,481474,13241,18042,21051,19995,22933,34247,38696,35361,40762,36780,38314,35396,36761,34259,23056,16165,9638,4558,1670,467,82
"강동구","한국인",465090,12695,17637,20506,19317,22335,33196,36548,33574,39577,35426,37124,34296,36049,32975,22214,15585,9449,4454,1625,429,79,476942,13137,17932,20943,19891,22583,33645,38111,34806,40334,36445,37920,34996,36512,34129,23008,16145,9632,4557,1668,467,81
"강동구","등록외국인",4374,94,112,107,92,301,560,573,547,420,330,388,391,253,129,47,20,6,1,2,-,1,4532,104,110,108,104,350,602,585,555,428,335,394,400,249,130,48,20,6,1,2,-,1
